flood_case,source,threshold_key,threshold,n_valid,n_ref_water_excluded,tp,fp,fn,tn,csi,far,hr,cama_date,obs_date
KuroSiwo_1111003,modis,t25,0.25,2,2,0,0,0,2,nan,nan,nan,2019-11-27,2019-11-26
KuroSiwo_1111003,modis,t50,0.5,2,2,0,0,0,2,nan,nan,nan,2019-11-27,2019-11-26
KuroSiwo_1111004,viirs,t05,0.05,2619,608,1135,1082,123,279,0.48504273504273504,0.48804691023906177,0.9022257551669316,2017-08-29,2017-08-30
KuroSiwo_1111004,viirs,t10,0.1,2619,608,842,956,199,622,0.42163244867300953,0.5317018909899889,0.808837656099904,2017-08-29,2017-08-30
KuroSiwo_1111004,viirs,t25,0.25,2619,608,321,549,275,1474,0.28034934497816594,0.6310344827586207,0.5385906040268457,2017-08-29,2017-08-30
KuroSiwo_1111004,viirs,t50,0.5,2619,608,76,235,169,2139,0.15833333333333333,0.7556270096463023,0.31020408163265306,2017-08-29,2017-08-30
KuroSiwo_1111004,gfm,t05,0.05,2619,608,382,1835,37,365,0.16947648624667258,0.8276950834460983,0.9116945107398569,2017-08-29,20170829
KuroSiwo_1111004,gfm,t10,0.1,2619,608,159,1639,25,796,0.08721886999451453,0.9115684093437152,0.8641304347826086,2017-08-29,20170829
KuroSiwo_1111004,gfm,t25,0.25,2619,608,9,861,16,1733,0.010158013544018058,0.9896551724137931,0.36,2017-08-29,20170829
KuroSiwo_1111004,gfm,t50,0.5,2619,608,0,311,0,2308,0.0,1.0,nan,2017-08-29,20170829
KuroSiwo_1111004,modis,t05,0.05,2610,608,746,1462,62,340,0.32863436123348017,0.6621376811594203,0.9232673267326733,2017-08-29,2017-08-31
KuroSiwo_1111004,modis,t10,0.1,2610,608,531,1261,101,717,0.2805071315372425,0.7036830357142857,0.8401898734177216,2017-08-29,2017-08-31
KuroSiwo_1111004,modis,t25,0.25,2610,608,206,659,181,1564,0.19694072657743786,0.761849710982659,0.5322997416020672,2017-08-29,2017-08-31
KuroSiwo_1111004,modis,t50,0.5,2610,608,53,256,111,2190,0.1261904761904762,0.8284789644012945,0.3231707317073171,2017-08-29,2017-08-31
KuroSiwo_1111005,viirs,t05,0.05,249,8,183,52,11,3,0.7439024390243902,0.22127659574468084,0.9432989690721649,2020-01-26,2020-01-24
KuroSiwo_1111005,viirs,t10,0.1,249,8,160,55,24,10,0.6694560669456067,0.2558139534883721,0.8695652173913043,2020-01-26,2020-01-24
KuroSiwo_1111005,viirs,t25,0.25,249,8,110,72,39,28,0.497737556561086,0.3956043956043956,0.738255033557047,2020-01-26,2020-01-24
KuroSiwo_1111005,viirs,t50,0.5,249,8,69,74,50,56,0.35751295336787564,0.5174825174825175,0.5798319327731093,2020-01-26,2020-01-24
KuroSiwo_1111005,gfm,t05,0.05,249,8,82,153,7,7,0.33884297520661155,0.6510638297872341,0.9213483146067416,2020-01-26,20200126
KuroSiwo_1111005,gfm,t10,0.1,249,8,47,168,14,20,0.2052401746724891,0.7813953488372093,0.7704918032786885,2020-01-26,20200126
KuroSiwo_1111005,gfm,t25,0.25,249,8,6,176,11,56,0.031088082901554404,0.967032967032967,0.35294117647058826,2020-01-26,20200126
KuroSiwo_1111005,gfm,t50,0.5,249,8,0,143,0,106,0.0,1.0,nan,2020-01-26,20200126
KuroSiwo_1111005,modis,t05,0.05,242,8,72,158,4,8,0.3076923076923077,0.6869565217391305,0.9473684210526315,2020-01-26,2020-01-29
KuroSiwo_1111005,modis,t10,0.1,242,8,44,167,7,24,0.2018348623853211,0.7914691943127962,0.8627450980392157,2020-01-26,2020-01-29
KuroSiwo_1111005,modis,t25,0.25,242,8,12,167,12,51,0.06282722513089005,0.9329608938547486,0.5,2020-01-26,2020-01-29
KuroSiwo_1111005,modis,t50,0.5,242,8,2,140,5,95,0.013605442176870748,0.9859154929577465,0.2857142857142857,2020-01-26,2020-01-29
KuroSiwo_1111006,viirs,t05,0.05,141,17,88,23,22,8,0.6616541353383458,0.2072072072072072,0.8,2020-01-31,2020-02-01
KuroSiwo_1111006,viirs,t10,0.1,141,17,68,26,26,21,0.5666666666666667,0.2765957446808511,0.723404255319149,2020-01-31,2020-02-01
KuroSiwo_1111006,viirs,t25,0.25,141,17,24,19,27,71,0.34285714285714286,0.4418604651162791,0.47058823529411764,2020-01-31,2020-02-01
KuroSiwo_1111006,viirs,t50,0.5,141,17,2,8,15,116,0.08,0.8,0.11764705882352941,2020-01-31,2020-02-01
KuroSiwo_1111006,gfm,t05,0.05,131,17,47,56,9,19,0.41964285714285715,0.5436893203883495,0.8392857142857143,2020-01-31,20200131
KuroSiwo_1111006,gfm,t10,0.1,131,17,26,63,8,34,0.26804123711340205,0.7078651685393258,0.7647058823529411,2020-01-31,20200131
KuroSiwo_1111006,gfm,t25,0.25,131,17,2,40,4,85,0.043478260869565216,0.9523809523809523,0.3333333333333333,2020-01-31,20200131
KuroSiwo_1111006,gfm,t50,0.5,131,17,0,10,0,121,0.0,1.0,nan,2020-01-31,20200131
KuroSiwo_1111006,modis,t05,0.05,130,17,13,90,1,26,0.125,0.8737864077669902,0.9285714285714286,2020-01-31,2020-02-02
KuroSiwo_1111006,modis,t10,0.1,130,17,3,86,1,40,0.03333333333333333,0.9662921348314607,0.75,2020-01-31,2020-02-02
KuroSiwo_1111006,modis,t25,0.25,130,17,0,42,0,88,0.0,1.0,nan,2020-01-31,2020-02-02
KuroSiwo_1111006,modis,t50,0.5,130,17,0,10,0,120,0.0,1.0,nan,2020-01-31,2020-02-02
KuroSiwo_1111007,viirs,t05,0.05,1045,481,315,564,38,128,0.3435114503816794,0.6416382252559727,0.8923512747875354,2019-09-18,2019-09-20
KuroSiwo_1111007,viirs,t10,0.1,1045,481,205,531,64,245,0.25625,0.7214673913043478,0.7620817843866171,2019-09-18,2019-09-20
KuroSiwo_1111007,viirs,t25,0.25,1045,481,82,308,68,587,0.17903930131004367,0.7897435897435897,0.5466666666666666,2019-09-18,2019-09-20
KuroSiwo_1111007,viirs,t50,0.5,1045,481,13,166,21,845,0.065,0.9273743016759777,0.38235294117647056,2019-09-18,2019-09-20
KuroSiwo_1111007,gfm,t05,0.05,1058,481,87,803,7,161,0.09698996655518395,0.902247191011236,0.925531914893617,2019-09-18,20190918
KuroSiwo_1111007,gfm,t10,0.1,1058,481,22,725,1,310,0.029411764705882353,0.9705488621151271,0.9565217391304348,2019-09-18,20190918
KuroSiwo_1111007,gfm,t25,0.25,1058,481,3,393,0,662,0.007575757575757576,0.9924242424242424,1.0,2019-09-18,20190918
KuroSiwo_1111007,gfm,t50,0.5,1058,481,0,181,0,877,0.0,1.0,nan,2019-09-18,20190918
KuroSiwo_1111007,modis,t05,0.05,881,481,95,654,3,129,0.12632978723404256,0.8731642189586115,0.9693877551020408,2019-09-18,2019-09-21
KuroSiwo_1111007,modis,t10,0.1,881,481,49,581,7,244,0.07692307692307693,0.9222222222222223,0.875,2019-09-18,2019-09-21
KuroSiwo_1111007,modis,t25,0.25,881,481,20,333,1,527,0.05649717514124294,0.943342776203966,0.9523809523809523,2019-09-18,2019-09-21
KuroSiwo_1111007,modis,t50,0.5,881,481,7,157,0,717,0.042682926829268296,0.9573170731707317,1.0,2019-09-18,2019-09-21
KuroSiwo_1111008,viirs,t05,0.05,18,7,4,10,1,3,0.26666666666666666,0.7142857142857143,0.8,2020-08-16,2020-08-15
KuroSiwo_1111008,viirs,t10,0.1,18,7,3,9,0,6,0.25,0.75,1.0,2020-08-16,2020-08-15
KuroSiwo_1111008,viirs,t25,0.25,18,7,0,8,0,10,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111008,viirs,t50,0.5,18,7,0,4,0,14,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111008,gfm,t05,0.05,18,7,2,12,0,4,0.14285714285714285,0.8571428571428571,1.0,2020-08-16,20200816
KuroSiwo_1111008,gfm,t10,0.1,18,7,0,12,0,6,0.0,1.0,nan,2020-08-16,20200816
KuroSiwo_1111008,gfm,t25,0.25,18,7,0,8,0,10,0.0,1.0,nan,2020-08-16,20200816
KuroSiwo_1111008,gfm,t50,0.5,18,7,0,4,0,14,0.0,1.0,nan,2020-08-16,20200816
KuroSiwo_1111008,modis,t05,0.05,4,7,0,4,0,0,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111008,modis,t10,0.1,4,7,0,4,0,0,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111008,modis,t25,0.25,4,7,0,4,0,0,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111008,modis,t50,0.5,4,7,0,2,0,2,0.0,1.0,nan,2020-08-16,2020-08-15
KuroSiwo_1111009,gfm,t05,0.05,13329,520,3933,8343,100,953,0.317792501616031,0.6796187683284457,0.9752045623605257,2022-09-11,20220911
KuroSiwo_1111009,gfm,t10,0.1,13329,520,2665,8443,155,2066,0.23661546657196128,0.7600828231904934,0.9450354609929078,2022-09-11,20220911
KuroSiwo_1111009,gfm,t25,0.25,13329,520,1186,7030,63,5050,0.14325401618552966,0.8556475170399221,0.9495596477181746,2022-09-11,20220911
KuroSiwo_1111009,gfm,t50,0.5,13329,520,0,5831,0,7498,0.0,1.0,nan,2022-09-11,20220911
KuroSiwo_1111009,modis,t05,0.05,13274,520,6754,5473,220,827,0.5426207118181088,0.44761593195387256,0.9684542586750788,2022-09-11,2022-09-09
KuroSiwo_1111009,modis,t10,0.1,13274,520,5570,5495,476,1733,0.4826271553591543,0.4966109353818346,0.9212702613298048,2022-09-11,2022-09-09
KuroSiwo_1111009,modis,t25,0.25,13274,520,3865,4331,665,4413,0.43618101794379865,0.5284285017081504,0.8532008830022075,2022-09-11,2022-09-09
KuroSiwo_1111009,modis,t50,0.5,13274,520,2429,3393,681,6771,0.37351991388589884,0.5827894194434902,0.7810289389067524,2022-09-11,2022-09-09
KuroSiwo_1111010,viirs,t05,0.05,422,57,135,244,6,37,0.35064935064935066,0.6437994722955145,0.9574468085106383,2017-03-11,2017-03-11
KuroSiwo_1111010,viirs,t10,0.1,422,57,111,234,10,67,0.3126760563380282,0.6782608695652174,0.9173553719008265,2017-03-11,2017-03-11
KuroSiwo_1111010,viirs,t25,0.25,422,57,72,201,7,142,0.2571428571428571,0.7362637362637363,0.9113924050632911,2017-03-11,2017-03-11
KuroSiwo_1111010,viirs,t50,0.5,422,57,36,129,10,247,0.2057142857142857,0.7818181818181819,0.782608695652174,2017-03-11,2017-03-11
KuroSiwo_1111010,gfm,t05,0.05,418,57,91,285,2,40,0.24074074074074073,0.7579787234042553,0.978494623655914,2017-03-11,20170311
KuroSiwo_1111010,gfm,t10,0.1,418,57,52,291,1,74,0.1511627906976744,0.8483965014577259,0.9811320754716981,2017-03-11,20170311
KuroSiwo_1111010,gfm,t25,0.25,418,57,2,270,0,146,0.007352941176470588,0.9926470588235294,1.0,2017-03-11,20170311
KuroSiwo_1111010,gfm,t50,0.5,418,57,0,165,0,253,0.0,1.0,nan,2017-03-11,20170311
KuroSiwo_1111010,modis,t05,0.05,383,57,109,234,4,36,0.31412103746397696,0.6822157434402333,0.9646017699115044,2017-03-11,2017-03-11
KuroSiwo_1111010,modis,t10,0.1,383,57,88,222,4,69,0.2802547770700637,0.7161290322580646,0.9565217391304348,2017-03-11,2017-03-11
KuroSiwo_1111010,modis,t25,0.25,383,57,49,196,4,134,0.19678714859437751,0.8,0.9245283018867925,2017-03-11,2017-03-11
KuroSiwo_1111010,modis,t50,0.5,383,57,18,124,7,234,0.12080536912751678,0.8732394366197183,0.72,2017-03-11,2017-03-11
KuroSiwo_1111011,viirs,t05,0.05,362,18,270,52,21,19,0.7871720116618076,0.16149068322981366,0.9278350515463918,2020-11-13,2020-11-18
KuroSiwo_1111011,viirs,t10,0.1,362,18,219,64,31,48,0.697452229299363,0.22614840989399293,0.876,2020-11-13,2020-11-18
KuroSiwo_1111011,viirs,t25,0.25,362,18,95,88,42,137,0.4222222222222222,0.4808743169398907,0.6934306569343066,2020-11-13,2020-11-18
KuroSiwo_1111011,viirs,t50,0.5,362,18,15,86,18,243,0.12605042016806722,0.8514851485148515,0.45454545454545453,2020-11-13,2020-11-18
KuroSiwo_1111011,gfm,t05,0.05,362,18,233,89,15,25,0.6913946587537092,0.27639751552795033,0.9395161290322581,2020-11-13,20201113
KuroSiwo_1111011,gfm,t10,0.1,362,18,175,108,28,51,0.5627009646302251,0.38162544169611307,0.8620689655172413,2020-11-13,20201113
KuroSiwo_1111011,gfm,t25,0.25,362,18,83,100,28,151,0.3933649289099526,0.546448087431694,0.7477477477477478,2020-11-13,20201113
KuroSiwo_1111011,gfm,t50,0.5,362,18,0,101,0,261,0.0,1.0,nan,2020-11-13,20201113
KuroSiwo_1111011,modis,t05,0.05,362,18,87,235,5,35,0.26605504587155965,0.7298136645962733,0.9456521739130435,2020-11-13,2020-11-18
KuroSiwo_1111011,modis,t10,0.1,362,18,47,236,3,76,0.16433566433566432,0.833922261484099,0.94,2020-11-13,2020-11-18
KuroSiwo_1111011,modis,t25,0.25,362,18,8,175,1,178,0.043478260869565216,0.9562841530054644,0.8888888888888888,2020-11-13,2020-11-18
KuroSiwo_1111011,modis,t50,0.5,362,18,2,99,0,261,0.019801980198019802,0.9801980198019802,1.0,2020-11-13,2020-11-18
KuroSiwo_1111013,viirs,t05,0.05,845,4,354,170,112,209,0.5566037735849056,0.3244274809160305,0.759656652360515,2017-05-04,2017-05-07
KuroSiwo_1111013,viirs,t10,0.1,845,4,245,127,150,323,0.46934865900383144,0.34139784946236557,0.620253164556962,2017-05-04,2017-05-07
KuroSiwo_1111013,viirs,t25,0.25,845,4,78,45,157,565,0.2785714285714286,0.36585365853658536,0.33191489361702126,2017-05-04,2017-05-07
KuroSiwo_1111013,viirs,t50,0.5,845,4,1,24,65,755,0.011111111111111112,0.96,0.015151515151515152,2017-05-04,2017-05-07
KuroSiwo_1111013,gfm,t05,0.05,845,4,161,363,67,254,0.272419627749577,0.6927480916030534,0.706140350877193,2017-05-04,20170504
KuroSiwo_1111013,gfm,t10,0.1,845,4,32,340,47,426,0.07637231503579953,0.9139784946236559,0.4050632911392405,2017-05-04,20170504
KuroSiwo_1111013,gfm,t25,0.25,845,4,0,123,3,719,0.0,1.0,0.0,2017-05-04,20170504
KuroSiwo_1111013,gfm,t50,0.5,845,4,0,25,0,820,0.0,1.0,nan,2017-05-04,20170504
KuroSiwo_1111013,modis,t05,0.05,783,4,166,334,51,232,0.30127041742286753,0.668,0.7649769585253456,2017-05-04,2017-05-07
KuroSiwo_1111013,modis,t10,0.1,783,4,72,288,54,369,0.17391304347826086,0.8,0.5714285714285714,2017-05-04,2017-05-07
KuroSiwo_1111013,modis,t25,0.25,783,4,6,117,27,633,0.04,0.9512195121951219,0.18181818181818182,2017-05-04,2017-05-07
KuroSiwo_1111013,modis,t50,0.5,783,4,0,25,12,746,0.0,1.0,0.0,2017-05-04,2017-05-07
KuroSiwo_118,viirs,t05,0.05,20,0,1,11,0,8,0.08333333333333333,0.9166666666666666,1.0,2015-02-02,2015-02-05
KuroSiwo_118,viirs,t10,0.1,20,0,0,7,0,13,0.0,1.0,nan,2015-02-02,2015-02-05
KuroSiwo_118,viirs,t25,0.25,20,0,0,1,0,19,0.0,1.0,nan,2015-02-02,2015-02-05
KuroSiwo_118,viirs,t50,0.5,20,0,0,0,0,20,nan,nan,nan,2015-02-02,2015-02-05
KuroSiwo_118,gfm,t05,0.05,18,0,0,12,0,6,0.0,1.0,nan,2015-02-02,20150203
KuroSiwo_118,gfm,t10,0.1,18,0,0,7,0,11,0.0,1.0,nan,2015-02-02,20150203
KuroSiwo_118,gfm,t25,0.25,18,0,0,1,0,17,0.0,1.0,nan,2015-02-02,20150203
KuroSiwo_118,gfm,t50,0.5,18,0,0,0,0,18,nan,nan,nan,2015-02-02,20150203
KuroSiwo_118,modis,t05,0.05,0,0,0,0,0,0,nan,nan,nan,2015-02-02,2015-02-05
KuroSiwo_118,modis,t10,0.1,0,0,0,0,0,0,nan,nan,nan,2015-02-02,2015-02-05
KuroSiwo_118,modis,t25,0.25,0,0,0,0,0,0,nan,nan,nan,2015-02-02,2015-02-05
KuroSiwo_118,modis,t50,0.5,0,0,0,0,0,0,nan,nan,nan,2015-02-02,2015-02-05
KuroSiwo_130,viirs,t05,0.05,673,158,108,490,5,70,0.1791044776119403,0.8193979933110368,0.9557522123893806,2015-09-13,2015-09-11
KuroSiwo_130,viirs,t10,0.1,673,158,65,459,12,137,0.12126865671641791,0.8759541984732825,0.8441558441558441,2015-09-13,2015-09-11
KuroSiwo_130,viirs,t25,0.25,673,158,20,381,13,259,0.04830917874396135,0.9501246882793017,0.6060606060606061,2015-09-13,2015-09-11
KuroSiwo_130,viirs,t50,0.5,673,158,0,284,1,388,0.0,1.0,0.0,2015-09-13,2015-09-11
KuroSiwo_130,gfm,t05,0.05,673,158,34,564,1,74,0.05676126878130217,0.9431438127090301,0.9714285714285714,2015-09-13,20150913
KuroSiwo_130,gfm,t10,0.1,673,158,13,511,3,146,0.024667931688804556,0.9751908396946565,0.8125,2015-09-13,20150913
KuroSiwo_130,gfm,t25,0.25,673,158,0,401,0,272,0.0,1.0,nan,2015-09-13,20150913
KuroSiwo_130,gfm,t50,0.5,673,158,0,284,0,389,0.0,1.0,nan,2015-09-13,20150913
KuroSiwo_130,modis,t05,0.05,55,158,40,7,4,4,0.7843137254901961,0.14893617021276595,0.9090909090909091,2015-09-13,2015-09-16
KuroSiwo_130,modis,t10,0.1,55,158,29,9,13,4,0.5686274509803921,0.23684210526315788,0.6904761904761905,2015-09-13,2015-09-16
KuroSiwo_130,modis,t25,0.25,55,158,18,8,24,5,0.36,0.3076923076923077,0.42857142857142855,2015-09-13,2015-09-16
KuroSiwo_130,modis,t50,0.5,55,158,10,9,26,10,0.2222222222222222,0.47368421052631576,0.2777777777777778,2015-09-13,2015-09-16
KuroSiwo_147,viirs,t05,0.05,32,2,2,9,0,21,0.18181818181818182,0.8181818181818182,1.0,2015-12-10,2015-12-07
KuroSiwo_147,viirs,t10,0.1,32,2,0,9,1,22,0.0,1.0,0.0,2015-12-10,2015-12-07
KuroSiwo_147,viirs,t25,0.25,32,2,0,4,1,27,0.0,1.0,0.0,2015-12-10,2015-12-07
KuroSiwo_147,viirs,t50,0.5,32,2,0,0,0,32,nan,nan,nan,2015-12-10,2015-12-07
KuroSiwo_147,gfm,t05,0.05,32,2,1,10,0,21,0.09090909090909091,0.9090909090909091,1.0,2015-12-10,20151213
KuroSiwo_147,gfm,t10,0.1,32,2,0,9,1,22,0.0,1.0,0.0,2015-12-10,20151213
KuroSiwo_147,gfm,t25,0.25,32,2,0,4,0,28,0.0,1.0,nan,2015-12-10,20151213
KuroSiwo_147,gfm,t50,0.5,32,2,0,0,0,32,nan,nan,nan,2015-12-10,20151213
KuroSiwo_147,modis,t05,0.05,23,2,1,1,11,10,0.07692307692307693,0.5,0.08333333333333333,2015-12-10,2015-12-11
KuroSiwo_147,modis,t10,0.1,23,2,0,1,9,13,0.0,1.0,0.0,2015-12-10,2015-12-11
KuroSiwo_147,modis,t25,0.25,23,2,0,0,6,17,0.0,nan,0.0,2015-12-10,2015-12-11
KuroSiwo_147,modis,t50,0.5,23,2,0,0,4,19,0.0,nan,0.0,2015-12-10,2015-12-11
KuroSiwo_174,viirs,t05,0.05,66,40,12,54,0,0,0.18181818181818182,0.8181818181818182,1.0,2016-08-07,2016-08-11
KuroSiwo_174,viirs,t10,0.1,66,40,7,59,0,0,0.10606060606060606,0.8939393939393939,1.0,2016-08-07,2016-08-11
KuroSiwo_174,viirs,t25,0.25,66,40,0,29,0,37,0.0,1.0,nan,2016-08-07,2016-08-11
KuroSiwo_174,viirs,t50,0.5,66,40,0,10,0,56,0.0,1.0,nan,2016-08-07,2016-08-11
KuroSiwo_174,gfm,t05,0.05,65,40,0,65,0,0,0.0,1.0,nan,2016-08-07,20160807
KuroSiwo_174,gfm,t10,0.1,65,40,0,65,0,0,0.0,1.0,nan,2016-08-07,20160807
KuroSiwo_174,gfm,t25,0.25,65,40,0,29,0,36,0.0,1.0,nan,2016-08-07,20160807
KuroSiwo_174,gfm,t50,0.5,65,40,0,10,0,55,0.0,1.0,nan,2016-08-07,20160807
KuroSiwo_174,modis,t05,0.05,64,40,0,64,0,0,0.0,1.0,nan,2016-08-07,2016-08-12
KuroSiwo_174,modis,t10,0.1,64,40,0,64,0,0,0.0,1.0,nan,2016-08-07,2016-08-12
KuroSiwo_174,modis,t25,0.25,64,40,0,29,0,35,0.0,1.0,nan,2016-08-07,2016-08-12
KuroSiwo_174,modis,t50,0.5,64,40,0,10,0,54,0.0,1.0,nan,2016-08-07,2016-08-12
KuroSiwo_205,viirs,t05,0.05,153,14,4,87,0,62,0.04395604395604396,0.9560439560439561,1.0,2017-05-30,2017-06-04
KuroSiwo_205,viirs,t10,0.1,153,14,2,73,0,78,0.02666666666666667,0.9733333333333334,1.0,2017-05-30,2017-06-04
KuroSiwo_205,viirs,t25,0.25,153,14,0,6,0,147,0.0,1.0,nan,2017-05-30,2017-06-04
KuroSiwo_205,viirs,t50,0.5,153,14,0,0,0,153,nan,nan,nan,2017-05-30,2017-06-04
KuroSiwo_205,gfm,t05,0.05,153,14,6,85,3,59,0.06382978723404255,0.9340659340659341,0.6666666666666666,2017-05-30,20170530
KuroSiwo_205,gfm,t10,0.1,153,14,0,75,0,78,0.0,1.0,nan,2017-05-30,20170530
KuroSiwo_205,gfm,t25,0.25,153,14,0,6,0,147,0.0,1.0,nan,2017-05-30,20170530
KuroSiwo_205,gfm,t50,0.5,153,14,0,0,0,153,nan,nan,nan,2017-05-30,20170530
KuroSiwo_205,modis,t05,0.05,9,14,0,8,0,1,0.0,1.0,nan,2017-05-30,2017-05-29
KuroSiwo_205,modis,t10,0.1,9,14,0,7,0,2,0.0,1.0,nan,2017-05-30,2017-05-29
KuroSiwo_205,modis,t25,0.25,9,14,0,1,0,8,0.0,1.0,nan,2017-05-30,2017-05-29
KuroSiwo_205,modis,t50,0.5,9,14,0,0,0,9,nan,nan,nan,2017-05-30,2017-05-29
KuroSiwo_267,viirs,t05,0.05,479,741,160,235,44,40,0.36446469248291574,0.5949367088607594,0.7843137254901961,2018-02-02,2018-02-04
KuroSiwo_267,viirs,t10,0.1,479,741,88,241,70,80,0.22055137844611528,0.7325227963525835,0.5569620253164557,2018-02-02,2018-02-04
KuroSiwo_267,viirs,t25,0.25,479,741,9,190,66,214,0.033962264150943396,0.9547738693467337,0.12,2018-02-02,2018-02-04
KuroSiwo_267,viirs,t50,0.5,479,741,0,143,18,318,0.0,1.0,0.0,2018-02-02,2018-02-04
KuroSiwo_267,gfm,t05,0.05,479,741,0,395,0,84,0.0,1.0,nan,2018-02-02,20180131
KuroSiwo_267,gfm,t10,0.1,479,741,0,329,0,150,0.0,1.0,nan,2018-02-02,20180131
KuroSiwo_267,gfm,t25,0.25,479,741,0,199,0,280,0.0,1.0,nan,2018-02-02,20180131
KuroSiwo_267,gfm,t50,0.5,479,741,0,143,0,336,0.0,1.0,nan,2018-02-02,20180131
KuroSiwo_267,modis,t05,0.05,397,741,37,291,10,59,0.10946745562130178,0.8871951219512195,0.7872340425531915,2018-02-02,2018-02-05
KuroSiwo_267,modis,t10,0.1,397,741,16,253,14,114,0.05653710247349823,0.9405204460966543,0.5333333333333333,2018-02-02,2018-02-05
KuroSiwo_267,modis,t25,0.25,397,741,0,160,7,230,0.0,1.0,0.0,2018-02-02,2018-02-05
KuroSiwo_267,modis,t50,0.5,397,741,0,114,2,281,0.0,1.0,0.0,2018-02-02,2018-02-05
KuroSiwo_273,viirs,t05,0.05,542,328,136,335,13,58,0.2809917355371901,0.7112526539278131,0.912751677852349,2018-03-11,2018-03-10
KuroSiwo_273,viirs,t10,0.1,542,328,80,346,23,93,0.17817371937639198,0.812206572769953,0.7766990291262136,2018-03-11,2018-03-10
KuroSiwo_273,viirs,t25,0.25,542,328,17,212,25,288,0.06692913385826772,0.925764192139738,0.40476190476190477,2018-03-11,2018-03-10
KuroSiwo_273,viirs,t50,0.5,542,328,3,111,8,420,0.02459016393442623,0.9736842105263158,0.2727272727272727,2018-03-11,2018-03-10
KuroSiwo_273,gfm,t05,0.05,542,328,10,461,3,68,0.02109704641350211,0.9787685774946921,0.7692307692307693,2018-03-11,20180311
KuroSiwo_273,gfm,t10,0.1,542,328,1,425,0,116,0.002347417840375587,0.9976525821596244,1.0,2018-03-11,20180311
KuroSiwo_273,gfm,t25,0.25,542,328,0,229,0,313,0.0,1.0,nan,2018-03-11,20180311
KuroSiwo_273,gfm,t50,0.5,542,328,0,114,0,428,0.0,1.0,nan,2018-03-11,20180311
KuroSiwo_273,modis,t05,0.05,489,328,110,327,14,38,0.24390243902439024,0.7482837528604119,0.8870967741935484,2018-03-11,2018-03-09
KuroSiwo_273,modis,t10,0.1,489,328,56,341,18,74,0.13493975903614458,0.8589420654911839,0.7567567567567568,2018-03-11,2018-03-09
